Zone,County
NW,Douglas
NW,Bayfield
NW,Sawyer
NW,Rusk
NW,Chippewa
NW,Barron
NW,Polk
NW,Burnett
NW,Washburn
NC,Ashland
NC,Iron
NC,Price
NC,Taylor
NC,Clark
NC,Marathon
NC,Lincoln
NC,Oneida
NC,Vilas
NE,Forest
NE,Florence
NE,Marinette
NE,Oconto
NE,Langlade
NE,Menominee
NE,Shawano
EC,Outagamie
EC,Brown
EC,Door
EC,Kewaunee
EC,Manitowoc
EC,Sheboygan
EC,Fond du Lac
EC,Calumet
EC,Winnebago
C,Waupaca
C,Portage
C,Wood
C,Juneau
C,Adams
C,Marquette
C,Waushara
C,Green Lake
WC,Saint Croix
WC,Pierce
WC,Dunn
WC,Eau Claire
WC,Pepin
WC,Buffalo
WC,Trempealeau
WC,Jackson
WC,Monroe
WC,La Crosse
SW,Vernon
SW,Crawford
SW,Richland
SW,Sauk
SW,Iowa
SW,Lafayette
SW,Grant
SC,Columbia
SC,Dane
SC,Green
SC,Rock
SC,Jefferson
SC,Dodge
SE,Washington
SE,Waukesha
SE,Racine
SE,Kenosha
SE,Milwaukee
SE,Ozaukee
SE,Walworth
